sid,lname,fname,mname,address,contactno,birthday,gender,dept
799303,Lawrence,Justin,Buck,Ap #519-564 Dui Road,09482648364,2011-05-28,1,5
589439,Carpenter,Mara,Holt,"P.O. Box 685, 3051 Mauris St.",09636546243,2009-12-25,1,2
683978,Willis,Austin,Parks,Ap #617-8563 Et Street,09495176183,2016-01-21,1,1
931934,Wiggins,Macon,Salas,384-3964 Lobortis Road,09632648552,2007-05-04,1,4
1357,Clark,Ocean,Solis,2544 Egestas Road,09881767455,1998-10-05,2,1
88893,Trevino,Mariam,Holland,"P.O. Box 759, 3025 Nullam Avenue",09554647530,1998-07-21,1,3
820207,Mcknight,Jordan,Lane,6408 Eu Street,09906875918,2005-06-19,2,3
386730,Holloway,Allegra,York,Ap #598-7353 Dui St.,09266830694,2017-04-20,2,4
69465,Justice,Ross,Summers,436-1858 Augue Street,09339172623,2012-06-06,1,2
689187,Contreras,Neil,Summers,841-7302 Nec Road,09736449223,2001-06-06,1,4
465084,Dominguez,Alana,Cabrera,376-7034 Curabitur Rd.,09556862655,2013-07-20,1,2
130908,Hanson,Melyssa,Lynch,3212 Magna Av.,09935537278,2005-04-02,1,5
705731,Acosta,Driscoll,Herrera,698-2617 Nunc Ave,09455346229,2013-04-27,1,2
319997,Gay,Coby,Farley,Ap #187-637 Dictum Road,09834234170,2011-08-24,2,3
764597,Kramer,Jesse,Walters,Ap #664-8890 Sit Av.,09382499280,2007-10-05,2,3
264454,Kinney,Destiny,Higgins,Ap #454-4107 Elit Rd.,09845572008,2013-08-07,1,3
65336,Dunlap,Lydia,Michael,Ap #923-3669 Pede St.,09545294405,2012-02-02,2,2
500627,Vega,Nicole,Russo,Ap #525-8006 Risus Street,09658932643,2016-06-14,2,3
650082,Ayers,Briar,Mercado,"Ap #584-6274 Odio, Street",09314316177,2009-06-09,2,5
426992,Garrett,Salvador,May,718-6174 Nulla. Ave,09061734616,2010-03-15,1,2
945053,Acevedo,Morgan,Andrews,617-9738 Velit St.,09287516957,2005-08-27,1,5
756347,Suarez,Joel,Dejesus,408-9594 Nibh Rd.,09481921242,1997-10-30,1,3
801093,Walker,Jasper,Terry,232-2528 Massa Rd.,09826146404,1998-01-28,1,4
382818,Barron,Iliana,Conway,203-676 At Ave,09246884286,2015-04-07,1,2
208908,Brewer,Fritz,David,Ap #534-6426 Proin Road,09119705813,2009-08-13,1,5
960202,Lynn,Gage,Meyer,Ap #757-7207 Magna. St.,09748498050,2001-06-13,2,1
636801,Gilliam,Carla,Hutchinson,817 Lobortis Street,09626316372,1999-09-07,1,4
421234,Herman,Dorian,Gay,469-4769 Diam Road,09505349332,2008-12-27,1,3
870255,Bishop,Camden,Stark,3560 Aliquam Ave,09685357352,2005-03-12,1,5
971949,Pollard,Jack,Meadows,140-2682 Phasellus St.,09460558449,2003-10-08,1,3
398974,Simon,Melodie,Noel,Ap #232-7847 Curabitur Av.,09217016374,2012-11-18,2,5
484579,Mckee,Brent,Montgomery,Ap #963-5233 Neque St.,09849458708,2009-12-10,2,1
708337,Wells,Jescie,Hull,"P.O. Box 765, 2478 Sit St.",09983805525,1996-10-11,2,4
185284,Mcconnell,Galvin,Coleman,696-5124 Cursus St.,09361833821,1997-02-14,2,3
127862,Harper,Brent,Rivera,2736 Ante. Rd.,09552866067,2017-01-20,2,2
498088,Nicholson,Lara,Dyer,663-3376 Pede St.,09117666023,2009-09-07,1,3
389813,Boyle,Lenore,Hahn,Ap #501-1486 Aliquet Avenue,09574527651,2012-05-16,2,3
665557,Hernandez,Jason,Burch,676-2250 Semper St.,09958983736,2007-01-14,2,3
699637,Merritt,Lara,Baldwin,571-2921 Non Avenue,09136716688,2005-05-22,2,3
308205,Burns,Allegra,Macdonald,"P.O. Box 161, 6825 Magna. Rd.",09424415993,2007-12-31,2,5
298212,Holt,Kerry,Huffman,"P.O. Box 440, 6902 Pellentesque. Avenue",09065848078,2012-02-27,1,3
985390,Christian,Heather,Morgan,394-5051 Elementum St.,09202027166,2014-05-07,1,4
123310,Coffey,Ayanna,Fischer,"5679 Pede, Street",09248251799,2017-06-20,1,4
423928,Whitehead,Deborah,Mitchell,1371 Facilisi. Ave,09951548182,2005-05-27,2,2
532351,Fletcher,Lamar,Contreras,302-6031 Ipsum Street,09969807174,2006-03-02,1,3
872544,Allen,Gisela,Erickson,971-2975 In Av.,09745647533,2014-08-22,1,4
989987,Goodman,Sawyer,Hughes,"505-6120 Nec, Av.",09391961481,2008-03-30,2,2
205190,Boyd,Zelenia,Sexton,116-9575 Purus St.,09578387318,2000-04-02,2,1
608208,Mckinney,Aspen,Bryant,266-5640 Placerat. Av.,09850747180,2003-07-12,2,4
