sid,lname,fname,mname,address,contactno,birthday,gender,dept,year,numberrange
568079,Mayo,Diana,Leach,8607 Consequat Street,09559510769,2013-02-18,1,4,2019,1
422051,Kelley,Brody,Snow,960-8123 Pede. Avenue,09017034738,2016-04-10,2,4,2024,1
242386,Nicholson,Zelda,Mcgee,448-2436 Eleifend St.,09556019424,1999-09-05,1,5,2017,1
959234,Crawford,Kameko,Reid,Ap #266-9746 Vivamus Ave,09948634215,2018-02-19,1,5,2022,0
803484,Ingram,Lucy,Browning,Ap #924-257 Magna. Street,09376187036,2008-11-17,2,4,2018,1
817260,Nelson,Noelle,Carrillo,"P.O. Box 133, 1511 Vel, Road",09248381842,2003-06-18,2,2,2017,1
199597,Francis,Eugenia,Soto,303-8736 Ac Avenue,09492775218,2004-12-22,1,2,2019,1
652456,Cotton,Kimberley,Sheppard,Ap #571-3326 Odio. St.,09548632854,1999-09-12,2,3,2018,0
498984,Mathews,Aaron,Houston,108-8058 Pretium Rd.,09661775828,2002-04-17,2,4,2021,1
51651,Hardy,Jonah,Day,8851 Velit St.,09294735634,2015-07-29,2,2,2022,0
77201,Lambert,Lilah,Snyder,"Ap #987-7152 Id, St.",09803892247,2008-01-09,1,2,2025,1
778134,Meyer,Autumn,Kirby,7199 Eros Rd.,09359235826,2005-09-16,1,2,2018,1
77405,Wallace,Astra,Cross,"4619 Leo, St.",09931186224,1999-03-10,1,2,2025,1
549267,Pierce,Lucy,Douglas,"P.O. Box 769, 6122 Consequat St.",09695187813,2004-05-03,1,2,2016,1
167799,Kemp,Samson,Donovan,190-465 Curabitur Av.,09435275781,2001-09-14,1,5,2022,1
547287,Stout,Ashely,Hudson,7904 Vel Road,09507363432,2011-03-20,2,2,2024,0
347184,Mullins,Ferdinand,Johns,132-6708 Sollicitudin Ave,09537816379,2010-10-02,2,2,2021,1
879195,Riley,Kyle,Mendoza,"2314 Fringilla, Av.",09552425424,2017-07-13,1,1,2020,0
717090,Kirkland,Thor,Barton,Ap #668-6068 Sapien. Ave,09452352162,2011-03-14,1,5,2022,0
626402,Adkins,Malik,Poole,2146 Sed Street,09565796341,2001-12-11,2,2,2022,1
979224,Conner,Moana,Baxter,"P.O. Box 456, 1539 Dictum Avenue",09650763011,1997-12-17,1,5,2024,0
209850,Middleton,Omar,Blankenship,324-5508 Pede. St.,09312566731,2009-03-10,1,1,2015,1
586358,Gregory,Reese,Dejesus,5241 Ut St.,09468448453,1997-07-30,1,3,2016,1
927035,Cash,Priscilla,Rhodes,Ap #360-5902 Purus. Ave,09854523051,2017-01-24,2,4,2020,1
708733,Mccarthy,Nero,Puckett,Ap #332-6058 Lorem Avenue,09356206858,1998-11-03,2,4,2020,1
749814,Galloway,Odessa,Waters,305-2482 Hendrerit Street,09772733893,2010-02-02,1,4,2017,1
514382,Alford,Wanda,Bishop,"Ap #204-4395 Lacus, Road",09326445623,1999-07-29,1,2,2024,0
71360,Marquez,Joseph,Everett,9159 In Street,09951105667,2015-09-09,1,3,2019,1
35583,Ferguson,Barrett,Mclaughlin,835-9304 Lacinia Rd.,09840943152,2007-12-19,1,1,2019,1
22056,Gutierrez,Whoopi,Donovan,Ap #940-529 Id Street,09772731825,2002-07-29,2,2,2018,0
839942,Webster,Tamara,Castillo,107-4084 Nam Avenue,09165466914,2005-07-05,2,2,2023,0
164067,Barr,Megan,Vang,"P.O. Box 603, 6495 Magna. Ave",09951780774,2009-04-25,1,3,2016,1
964138,Wright,Christine,Steele,Ap #295-9344 Libero St.,09621454580,2010-02-14,1,3,2015,1
726118,Tyler,Olga,Rodriquez,"841-9133 Ac, St.",09734478875,2000-12-02,1,4,2017,0
718301,Tillman,Mara,Beard,Ap #845-4823 Vestibulum Road,09763512285,2008-11-23,1,4,2024,1
805642,Moon,Noelani,Bryant,772-8886 Vivamus St.,09194577847,2003-12-10,2,3,2018,1
255243,Monroe,Keefe,Jennings,Ap #418-5669 Ipsum. St.,09717102746,2009-11-09,2,5,2016,1
104548,Gomez,Gwendolyn,Salas,Ap #542-5915 Congue Avenue,09564030474,1998-06-26,1,4,2014,0
326672,Schwartz,Zena,Wilcox,110 Tempor Rd.,09818457303,2006-06-08,2,3,2024,1
889224,Jones,Lunea,Crosby,1678 Nunc St.,09894797313,2003-05-18,2,3,2023,0
824150,Montoya,Macaulay,Garrison,"847-4448 Ut, Ave",09781785002,2003-07-08,1,3,2014,0
632505,Buckley,Natalie,Carter,"6823 Est, St.",09006548681,2009-02-04,1,5,2021,1
442635,Webster,Oliver,Levy,2591 Faucibus Avenue,09823317535,2003-01-22,2,4,2022,1
661641,Blankenship,Sopoline,Cruz,Ap #513-4054 Mauris Av.,09123032654,2009-05-09,2,4,2015,1
406782,Carpenter,Deborah,Smith,"P.O. Box 806, 755 Massa Rd.",09784652575,2015-05-05,2,2,2016,0
450072,Noble,Boris,Christian,212-3886 Ultricies Ave,09569053151,2003-12-28,1,3,2022,1
451996,Maynard,Vance,Vinson,Ap #519-5725 Nunc Rd.,09457823737,2016-02-15,1,4,2018,0
441533,Clayton,Elizabeth,Crosby,"465-221 Pede, Ave",09298484850,2014-08-09,2,4,2021,0
794079,Bernard,Lars,Hobbs,478-9183 Dictum Street,09524202365,2014-05-13,2,2,2023,0
472169,Rivers,Akeem,Sanchez,4762 Morbi Av.,09215584082,2012-05-08,1,2,2018,0
88958,Marshall,Giselle,Baldwin,231-9308 Ultrices Avenue,09519086510,2017-11-26,2,3,2014,0
625383,Dejesus,Shellie,Shields,7124 Vehicula St.,09653954387,2016-10-09,2,4,2015,0
710747,Powers,Giacomo,George,"P.O. Box 931, 8378 Elit. St.",09380969885,2012-12-22,1,3,2015,1
263747,Hoover,Paul,Wilder,"P.O. Box 896, 3449 Imperdiet Av.",09624785343,2015-02-09,1,3,2024,0
427678,Marshall,Darius,Sykes,6903 Mi Rd.,09922332511,2013-09-10,2,4,2014,1
144011,Greer,Iris,Johns,"P.O. Box 852, 3775 Dui St.",09115863406,2016-05-30,1,4,2022,1
216914,Conner,Cherokee,Macdonald,"5747 Elit, Road",09278908763,2004-02-08,1,4,2018,1
873123,Riddle,Daria,King,Ap #994-8032 Consequat St.,09345262560,2017-01-30,2,5,2018,1
694868,Rivas,Cailin,Fowler,441-5810 Vestibulum Street,09478672223,2004-08-30,1,2,2017,1
673909,Bernard,Yasir,Gray,350-1511 Auctor St.,09419760756,1998-04-05,1,3,2023,1
811019,Bell,Hilary,Coleman,"Ap #293-7105 Elementum, St.",09754801612,2000-12-22,2,5,2024,0
688201,Gilliam,Allegra,Bond,Ap #981-4699 Mattis Rd.,09506769742,2012-01-15,1,2,2016,0
10225,Foreman,Ashton,Brown,"P.O. Box 409, 1895 Dis St.",09624086150,2004-10-14,1,4,2018,1
540905,Ryan,Nathan,Parsons,Ap #883-1988 Ligula Av.,09772309162,2008-06-01,2,2,2025,0
68032,Landry,Victoria,Simon,513-1250 Proin Av.,09583700560,2000-07-17,1,5,2023,1
739118,Peters,Odessa,Preston,5103 Condimentum. Rd.,09853127114,2012-06-09,1,4,2023,1
410954,Wilson,Sybil,Buchanan,432-8084 Quis St.,09225881336,2014-03-07,2,4,2020,0
73540,Wolf,Eaton,Stone,Ap #812-3339 Donec St.,09312271467,1998-06-23,1,4,2020,0
